
[AE] epoch: 105/150(70.00%), time: 0:06:33, loss: 0.03617294579295509, best epoch: 105, best loss: 0.03617294579295509
[AE] epoch: 106/150(70.67%), time: 0:06:36, loss: 0.03626401993973428, best epoch: 105, best loss: 0.03617294579295509
[AE] epoch: 107/150(71.33%), time: 0:06:39, loss: 0.03596991105341768, best epoch: 107, best loss: 0.03596991105341768
[AE] epoch: 108/150(72.00%), time: 0:06:42, loss: 0.035826240677431405, best epoch: 108, best loss: 0.035826240677431405
[AE] epoch: 109/150(72.67%), time: 0:06:45, loss: 0.035756955910698475, best epoch: 109, best loss: 0.035756955910698475
[AE] epoch: 110/150(73.33%), time: 0:06:48, loss: 0.035635364634624446, best epoch: 110, best loss: 0.035635364634624446
[AE] epoch: 111/150(74.00%), time: 0:06:51, loss: 0.0353415789509035, best epoch: 111, best loss: 0.0353415789509035
[AE] epoch: 112/150(74.67%), time: 0:06:55, loss: 0.03523956279618194, best epoch: 112, best loss: 0.03523956279618194
[AE] epoch: 113/150(75.33%), time: 0:06:58, loss: 0.03511378258825785, best epoch: 113, best loss: 0.03511378258825785
[AE] epoch: 114/150(76.00%), time: 0:07:01, loss: 0.035082016903233815, best epoch: 114, best loss: 0.035082016903233815
[AE] epoch: 115/150(76.67%), time: 0:07:04, loss: 0.03494726559035031, best epoch: 115, best loss: 0.03494726559035031
[AE] epoch: 116/150(77.33%), time: 0:07:08, loss: 0.03482334654643593, best epoch: 116, best loss: 0.03482334654643593
[AE] epoch: 117/150(78.00%), time: 0:07:11, loss: 0.03472982930490769, best epoch: 117, best loss: 0.03472982930490769
[AE] epoch: 118/150(78.67%), time: 0:07:14, loss: 0.034491905403963054, best epoch: 118, best loss: 0.034491905403963054
[AE] epoch: 119/150(79.33%), time: 0:07:17, loss: 0.03450596406607025, best epoch: 118, best loss: 0.034491905403963054
[AE] epoch: 120/150(80.00%), time: 0:07:20, loss: 0.03440630029752312, best epoch: 120, best loss: 0.03440630029752312
[AE] epoch: 121/150(80.67%), time: 0:07:23, loss: 0.03431023150143853, best epoch: 121, best loss: 0.03431023150143853
[AE] epoch: 122/150(81.33%), time: 0:07:26, loss: 0.03408717835344464, best epoch: 122, best loss: 0.03408717835344464
[AE] epoch: 123/150(82.00%), time: 0:07:29, loss: 0.033879736617925656, best epoch: 123, best loss: 0.033879736617925656
[AE] epoch: 124/150(82.67%), time: 0:07:32, loss: 0.03400138516472765, best epoch: 123, best loss: 0.033879736617925656
[AE] epoch: 125/150(83.33%), time: 0:07:35, loss: 0.03375902686672038, best epoch: 125, best loss: 0.03375902686672038
[AE] epoch: 126/150(84.00%), time: 0:07:38, loss: 0.0336544787488788, best epoch: 126, best loss: 0.0336544787488788
[AE] epoch: 127/150(84.67%), time: 0:07:41, loss: 0.03357582869210157, best epoch: 127, best loss: 0.03357582869210157
[AE] epoch: 128/150(85.33%), time: 0:07:44, loss: 0.03362002957567393, best epoch: 127, best loss: 0.03357582869210157
[AE] epoch: 129/150(86.00%), time: 0:07:47, loss: 0.03340147016008934, best epoch: 129, best loss: 0.03340147016008934
[AE] epoch: 130/150(86.67%), time: 0:07:50, loss: 0.03331598801067077, best epoch: 130, best loss: 0.03331598801067077
[AE] epoch: 131/150(87.33%), time: 0:07:53, loss: 0.03333868656352342, best epoch: 130, best loss: 0.03331598801067077
[AE] epoch: 132/150(88.00%), time: 0:07:56, loss: 0.03315203082579446, best epoch: 132, best loss: 0.03315203082579446
[AE] epoch: 133/150(88.67%), time: 0:07:59, loss: 0.032984361770641374, best epoch: 133, best loss: 0.032984361770641374
[AE] epoch: 134/150(89.33%), time: 0:08:02, loss: 0.032889916707413744, best epoch: 134, best loss: 0.032889916707413744
[AE] epoch: 135/150(90.00%), time: 0:08:05, loss: 0.0328792042985379, best epoch: 135, best loss: 0.0328792042985379
[AE] epoch: 136/150(90.67%), time: 0:08:08, loss: 0.03274301583149347, best epoch: 136, best loss: 0.03274301583149347
[AE] epoch: 137/150(91.33%), time: 0:08:12, loss: 0.032697950097092664, best epoch: 137, best loss: 0.032697950097092664
[AE] epoch: 138/150(92.00%), time: 0:08:15, loss: 0.03256903813186898, best epoch: 138, best loss: 0.03256903813186898
[AE] epoch: 139/150(92.67%), time: 0:08:18, loss: 0.03243583054786705, best epoch: 139, best loss: 0.03243583054786705
[AE] epoch: 140/150(93.33%), time: 0:08:21, loss: 0.0323462302919971, best epoch: 140, best loss: 0.0323462302919971
[AE] epoch: 141/150(94.00%), time: 0:08:25, loss: 0.03221355252955333, best epoch: 141, best loss: 0.03221355252955333
[AE] epoch: 142/150(94.67%), time: 0:08:28, loss: 0.03193744963192078, best epoch: 142, best loss: 0.03193744963192078
[AE] epoch: 143/150(95.33%), time: 0:08:31, loss: 0.031957703564001856, best epoch: 142, best loss: 0.03193744963192078
[AE] epoch: 144/150(96.00%), time: 0:08:35, loss: 0.03176200147493776, best epoch: 144, best loss: 0.03176200147493776
[AE] epoch: 145/150(96.67%), time: 0:08:38, loss: 0.03159854776528945, best epoch: 145, best loss: 0.03159854776528945
[AE] epoch: 146/150(97.33%), time: 0:08:41, loss: 0.03153072438954589, best epoch: 146, best loss: 0.03153072438954589
[AE] epoch: 147/150(98.00%), time: 0:08:44, loss: 0.03141119878694235, best epoch: 147, best loss: 0.03141119878694235
[AE] epoch: 148/150(98.67%), time: 0:08:47, loss: 0.031249184161424637, best epoch: 148, best loss: 0.031249184161424637
[AE] epoch: 149/150(99.33%), time: 0:08:50, loss: 0.031173583883118916, best epoch: 149, best loss: 0.031173583883118916
[AE] epoch: 150/150(100.00%), time: 0:08:53, loss: 0.031002480716231358, best epoch: 150, best loss: 0.031002480716231358
[AE] best epoch: 150, loss: 0.031002480716231358
Saving the ae weights.
Stacking BAGAN AE features
Finish stacking BAGAN AE features
Using cache found in /home/dblab/.cache/torch/hub/pytorch_vision_v0.10.0
<All keys matched successfully>
_IncompatibleKeys(missing_keys=['module.adv.1.weight', 'module.adv.1.bias'], unexpected_keys=['module.linear.1.weight', 'module.linear.1.bias'])
[GAN] step: 2000/100000(2.00%), time: 1:08:40, loss D: 1.2627685070037842, loss G: 1.6210352182388306, FID: 279.23109741858036, INS: 1.790144920349121, best step: 2000, best FID: 279.23109741858036, best INS: 1.790144920349121
[GAN] step: 4000/100000(4.00%), time: 2:13:44, loss D: 1.010041356086731, loss G: 3.151336431503296, FID: 317.69491342760807, INS: 1.7250820398330688, best step: 2000, best FID: 279.23109741858036, best INS: 1.790144920349121
[GAN] step: 6000/100000(6.00%), time: 3:18:27, loss D: 1.0837092399597168, loss G: 2.5785393714904785, FID: 246.1509670630247, INS: 1.8864837884902954, best step: 6000, best FID: 246.1509670630247, best INS: 1.8864837884902954
[GAN] step: 8000/100000(8.00%), time: 4:22:58, loss D: 0.9357275366783142, loss G: 2.089589834213257, FID: 258.1665513638833, INS: 1.8981338739395142, best step: 6000, best FID: 246.1509670630247, best INS: 1.8864837884902954
[GAN] step: 10000/100000(10.00%), time: 5:27:59, loss D: 0.8474902510643005, loss G: 1.9926037788391113, FID: 260.5412071356027, INS: 1.6739208698272705, best step: 6000, best FID: 246.1509670630247, best INS: 1.8864837884902954
[GAN] step: 12000/100000(12.00%), time: 6:33:33, loss D: 0.7752832770347595, loss G: 1.9045028686523438, FID: 192.7914086090932, INS: 2.127716302871704, best step: 12000, best FID: 192.7914086090932, best INS: 2.127716302871704
[GAN] step: 14000/100000(14.00%), time: 7:40:24, loss D: 0.7959408760070801, loss G: 1.7106199264526367, FID: 211.69211264438343, INS: 2.1423799991607666, best step: 12000, best FID: 192.7914086090932, best INS: 2.127716302871704
[GAN] step: 16000/100000(16.00%), time: 8:45:53, loss D: 0.5939794182777405, loss G: 2.6126532554626465, FID: 206.32937137032633, INS: 2.043137311935425, best step: 12000, best FID: 192.7914086090932, best INS: 2.127716302871704
[GAN] step: 18000/100000(18.00%), time: 9:52:12, loss D: 0.8676145076751709, loss G: 2.6590662002563477, FID: 184.8170424947245, INS: 2.2780139446258545, best step: 18000, best FID: 184.8170424947245, best INS: 2.2780139446258545
[GAN] step: 20000/100000(20.00%), time: 10:58:39, loss D: 0.7477448582649231, loss G: 2.685429811477661, FID: 171.45137728570114, INS: 2.39399790763855, best step: 20000, best FID: 171.45137728570114, best INS: 2.39399790763855
[GAN] step: 22000/100000(22.00%), time: 12:04:57, loss D: 0.7213385105133057, loss G: 2.3887195587158203, FID: 172.471860011265, INS: 2.7023355960845947, best step: 20000, best FID: 171.45137728570114, best INS: 2.39399790763855
[GAN] step: 24000/100000(24.00%), time: 13:11:02, loss D: 0.8236448764801025, loss G: 2.4079482555389404, FID: 180.019605241566, INS: 2.3280582427978516, best step: 20000, best FID: 171.45137728570114, best INS: 2.39399790763855
[GAN] step: 26000/100000(26.00%), time: 14:17:51, loss D: 0.44104522466659546, loss G: 2.049417495727539, FID: 157.2052102887635, INS: 2.5204408168792725, best step: 26000, best FID: 157.2052102887635, best INS: 2.5204408168792725
[GAN] step: 28000/100000(28.00%), time: 15:23:40, loss D: 0.6674274206161499, loss G: 3.199589729309082, FID: 177.14288327145053, INS: 2.6024386882781982, best step: 26000, best FID: 157.2052102887635, best INS: 2.5204408168792725
[GAN] step: 30000/100000(30.00%), time: 16:32:35, loss D: 0.5312312841415405, loss G: 1.994815468788147, FID: 150.11625315282595, INS: 2.6675820350646973, best step: 30000, best FID: 150.11625315282595, best INS: 2.6675820350646973
