
[AE] epoch: 84/150(56.00%), time: 0:02:26, loss: 0.05689780672391256, best epoch: 84, best loss: 0.05689780672391256
[AE] epoch: 85/150(56.67%), time: 0:02:28, loss: 0.056758232762416205, best epoch: 85, best loss: 0.056758232762416205
[AE] epoch: 86/150(57.33%), time: 0:02:29, loss: 0.05645291164517403, best epoch: 86, best loss: 0.05645291164517403
[AE] epoch: 87/150(58.00%), time: 0:02:30, loss: 0.05617971405386925, best epoch: 87, best loss: 0.05617971405386925
[AE] epoch: 88/150(58.67%), time: 0:02:32, loss: 0.05606728777289391, best epoch: 88, best loss: 0.05606728777289391
[AE] epoch: 89/150(59.33%), time: 0:02:33, loss: 0.05594756285349528, best epoch: 89, best loss: 0.05594756285349528
[AE] epoch: 90/150(60.00%), time: 0:02:35, loss: 0.05583947027722994, best epoch: 90, best loss: 0.05583947027722994
[AE] epoch: 91/150(60.67%), time: 0:02:36, loss: 0.05572378287712733, best epoch: 91, best loss: 0.05572378287712733
[AE] epoch: 92/150(61.33%), time: 0:02:37, loss: 0.055536732375621796, best epoch: 92, best loss: 0.055536732375621796
[AE] epoch: 93/150(62.00%), time: 0:02:39, loss: 0.05544009953737259, best epoch: 93, best loss: 0.05544009953737259
[AE] epoch: 94/150(62.67%), time: 0:02:40, loss: 0.05533747961123785, best epoch: 94, best loss: 0.05533747961123785
[AE] epoch: 95/150(63.33%), time: 0:02:42, loss: 0.05521063511570295, best epoch: 95, best loss: 0.05521063511570295
[AE] epoch: 96/150(64.00%), time: 0:02:43, loss: 0.05513532688220342, best epoch: 96, best loss: 0.05513532688220342
[AE] epoch: 97/150(64.67%), time: 0:02:44, loss: 0.054970384587844215, best epoch: 97, best loss: 0.054970384587844215
[AE] epoch: 98/150(65.33%), time: 0:02:46, loss: 0.054908181478579836, best epoch: 98, best loss: 0.054908181478579836
[AE] epoch: 99/150(66.00%), time: 0:02:47, loss: 0.05477954586346944, best epoch: 99, best loss: 0.05477954586346944
[AE] epoch: 100/150(66.67%), time: 0:02:48, loss: 0.05475605269273122, best epoch: 100, best loss: 0.05475605269273122
[AE] epoch: 101/150(67.33%), time: 0:02:50, loss: 0.0545866122841835, best epoch: 101, best loss: 0.0545866122841835
[AE] epoch: 102/150(68.00%), time: 0:02:51, loss: 0.054534002741177874, best epoch: 102, best loss: 0.054534002741177874
[AE] epoch: 103/150(68.67%), time: 0:02:53, loss: 0.054345910052458445, best epoch: 103, best loss: 0.054345910052458445
