
[AE] epoch: 133/150(88.67%), time: 0:03:31, loss: 0.0514963153998057, best epoch: 133, best loss: 0.0514963153998057
[AE] epoch: 134/150(89.33%), time: 0:03:32, loss: 0.05142194186647733, best epoch: 134, best loss: 0.05142194186647733
[AE] epoch: 135/150(90.00%), time: 0:03:34, loss: 0.051339187026023865, best epoch: 135, best loss: 0.051339187026023865
[AE] epoch: 136/150(90.67%), time: 0:03:35, loss: 0.05134500662485759, best epoch: 135, best loss: 0.051339187026023865
[AE] epoch: 137/150(91.33%), time: 0:03:36, loss: 0.051209253470102946, best epoch: 137, best loss: 0.051209253470102946
[AE] epoch: 138/150(92.00%), time: 0:03:38, loss: 0.05123125041524569, best epoch: 137, best loss: 0.051209253470102946
[AE] epoch: 139/150(92.67%), time: 0:03:39, loss: 0.051111408124367395, best epoch: 139, best loss: 0.051111408124367395
[AE] epoch: 140/150(93.33%), time: 0:03:40, loss: 0.05097904781500499, best epoch: 140, best loss: 0.05097904781500499
[AE] epoch: 141/150(94.00%), time: 0:03:42, loss: 0.05086943715810776, best epoch: 141, best loss: 0.05086943715810776
[AE] epoch: 142/150(94.67%), time: 0:03:43, loss: 0.050781391859054566, best epoch: 142, best loss: 0.050781391859054566
[AE] epoch: 143/150(95.33%), time: 0:03:45, loss: 0.05068906297286351, best epoch: 143, best loss: 0.05068906297286351
[AE] epoch: 144/150(96.00%), time: 0:03:46, loss: 0.05054250592986743, best epoch: 144, best loss: 0.05054250592986743
[AE] epoch: 145/150(96.67%), time: 0:03:47, loss: 0.05047350058952967, best epoch: 145, best loss: 0.05047350058952967
[AE] epoch: 146/150(97.33%), time: 0:03:49, loss: 0.05036352813243866, best epoch: 146, best loss: 0.05036352813243866
[AE] epoch: 147/150(98.00%), time: 0:03:50, loss: 0.05029471109310786, best epoch: 147, best loss: 0.05029471109310786
[AE] epoch: 148/150(98.67%), time: 0:03:51, loss: 0.05028857002655665, best epoch: 148, best loss: 0.05028857002655665
[AE] epoch: 149/150(99.33%), time: 0:03:53, loss: 0.05013034333785375, best epoch: 149, best loss: 0.05013034333785375
[AE] epoch: 150/150(100.00%), time: 0:03:54, loss: 0.05008998905618985, best epoch: 150, best loss: 0.05008998905618985
[AE] best epoch: 150, loss: 0.05008998905618985
Saving the ae weights.
Stacking BAGAN AE features
Finish stacking BAGAN AE features
Using cache found in /home/dblab/.cache/torch/hub/pytorch_vision_v0.10.0
<All keys matched successfully>
_IncompatibleKeys(missing_keys=['module.adv.1.weight', 'module.adv.1.bias'], unexpected_keys=['module.linear.1.weight', 'module.linear.1.bias'])
[GAN] step: 1/100000(0.00%), time: 0:01:10, loss D: 4.786592483520508, loss G: 2.400676965713501, FID: 327.77907734548717, INS: 1.663900375366211, best step: 1, best FID: 327.77907734548717, best INS: 1.663900375366211
[GAN] step: 2/100000(0.00%), time: 0:02:21, loss D: 4.776190757751465, loss G: 2.40676212310791, FID: 340.03171438875256, INS: 1.4689439535140991, best step: 1, best FID: 327.77907734548717, best INS: 1.663900375366211
[GAN] step: 3/100000(0.00%), time: 0:03:29, loss D: 4.764352798461914, loss G: 2.4056100845336914, FID: 368.11222103856466, INS: 1.3423054218292236, best step: 1, best FID: 327.77907734548717, best INS: 1.663900375366211
[GAN] step: 4/100000(0.00%), time: 0:04:38, loss D: 4.751749038696289, loss G: 2.3982717990875244, FID: 385.3574730771701, INS: 1.325899362564087, best step: 1, best FID: 327.77907734548717, best INS: 1.663900375366211
[GAN] step: 5/100000(0.01%), time: 0:05:46, loss D: 4.734367370605469, loss G: 2.3998360633850098, FID: 384.46998772143183, INS: 1.3377604484558105, best step: 1, best FID: 327.77907734548717, best INS: 1.663900375366211
[GAN] step: 6/100000(0.01%), time: 0:06:55, loss D: 4.712409019470215, loss G: 2.4029619693756104, FID: 407.0810651180651, INS: 1.3263424634933472, best step: 1, best FID: 327.77907734548717, best INS: 1.663900375366211
